delta,frequency
9.56481E-05,1667737000
0.000492369,1672998000
0.00011091,1678259000
0.00048581,1683520000
0.000282531,1688781000
0.000279252,1694042000
0.000475972,1699303000
7.26932E-05,1704564000
0.000669414,1709825000
6.61347E-05,1715086000
0.000462855,1720347000
0.000459576,1725608000
0.000143703,1730869000
0.000653018,1736130000
0.000150262,1741391000
0.000446459,1746652000
0.00064318,1751913000
0.0001601,1757174000
0.000836621,1762435000
0.000166658,1767696000
0.000430063,1772957000
0.000426783,1778218000
0.000176496,1783479000
0.000820225,1788740000
0.000383054,1794001000
0.000613666,1799262000
0.000410387,1804523000
0.000392892,1809784000
0.001203828,1815045000
0.000599451,1820306000
0.00079727,1825567000
0.000193991,1830828000
0.000209289,1836089000
0.001187432,1841350000
0.000815847,1846611000
0.001180874,1851872000
2.24057E-05,1857133000
0.000174315,1862394000
0.000771036,1867655000
0.000232244,1872916000
0.000764477,1878177000
3.88021E-05,1883438000
0.000157919,1888699000
0.000554639,1893960000
0.00044864,1899221000
0.000748081,1904482000
5.51985E-05,1909743000
0.000141522,1915004000
0.000538243,1920265000
0.000265036,1925526000
0.000731684,1930787000
7.15949E-05,1936048000
0.000525126,1941309000
0.000121847,1946570000
0.000318567,1951831000
0.000115288,1957092000
0.000312009,1962353000
0.000108729,1967614000
0.00010545,1972875000
0.000302171,1978136000
0.000101108,1983397000
0.000495612,1988658000
9.23331E-05,1993919000
0.000289054,1999180000
0.000285775,2004441000
8.24953E-05,2009702000
0.000279216,2014963000
7.59367E-05,2020224000
0.000272657,2025485000
6.93782E-05,2030746000
0.000266099,2036007000
6.28197E-05,2041268000
0.00025954,2046529000
0.000256261,2051790000
5.29818E-05,2057051000
0.000449703,2062312000
0.000353577,2067573000
0.000643144,2072834000
0.000160135,2078095000
0.000236585,2083356000
0.000433306,2088617000
0.000369973,2093878000
0.000826748,2099139000
0.000376532,2104400000
0.000420189,2109661000
0.00021691,2114922000
1.36305E-05,2120183000
0.000210351,2125444000
7.07199E-06,2130705000
0.000203793,2135966000
0.000200513,2141227000
2.76584E-06,2146488000
0.000193955,2151749000
0.000190676,2157010000
1.26037E-05,2162271000
0.000184117,2167532000
1.91622E-05,2172793000
0.000177559,2178054000
2.57208E-05,2183315000
0.000171,2188576000
3.22793E-05,2193837000
3.55586E-05,2199098000
0.000161162,2204359000
0.000242117,2209620000
0.000354604,2214881000
4.86757E-05,2220142000
5.1955E-05,2225403000
0.000344766,2230664000
0.000258514,2235925000
0.000338207,2241186000
0.000265072,2246447000
0.000131649,2251708000
0.000128369,2256969000
7.49099E-05,2262230000
0.000321811,2267491000
0.000481468,2272752000
0.000715252,2278013000
0.000488027,2283274000
0.000308694,2288535000
0.000105414,2293796000
0.000497865,2299057000
0.000698856,2304318000
0.001104423,2309579000
0.000892297,2314840000
0.000510982,2320101000
0.000114261,2325362000
0.00068246,2330623000
0.00092082,2335884000
0.000875901,2341145000
0.000527378,2346406000
6.93425E-05,2351667000
0.000266063,2356928000
0.000537216,2362189000
0.000459505,2367450000
0.000543775,2372711000
5.29461E-05,2377972000
0.000150333,2383233000
0.000353612,2388494000
4.31083E-05,2393755000
0.000360171,2399016000
3.65497E-05,2404277000
3.32704E-05,2409538000
0.000370009,2414799000
0.000226712,2420060000
0.000576567,2425321000
0.000220153,2430582000
0.000383126,2435843000
0.000186405,2441104000
0.000210316,2446365000
0.000592964,2451626000
0.000403757,2456887000
0.000399522,2462148000
2.80157E-06,2467409000
0.000193919,2472670000
0.00080936,2477931000
0.000387361,2483192000
0.000415919,2488453000
0.000419198,2493714000
0.000377523,2498975000
0.000825756,2504236000
0.000370964,2509497000
0.000232315,2514758000
0.000435594,2520019000
0.000561126,2525280000
0.000842153,2530541000
0.000354568,2535802000
0.000448711,2541063000
0.000451991,2546324000
0.00034473,2551585000
0.000858549,2556846000
0.000338171,2562107000
0.000665108,2567368000
6.83871E-05,2572629000
7.16663E-05,2577890000
0.000474946,2583151000
0.000321775,2588412000
0.000681504,2593673000
0.000115217,2598934000
0.000288063,2604195000
0.000491342,2609456000
0.000105379,2614717000
0.000497901,2619978000
0.00010118,2625239000
0.000304459,2630500000
0.000307738,2635761000
0.000111018,2641022000
0.000114297,2646283000
0.000117576,2651544000
0.000320855,2656805000
0.000124135,2662066000
0.000327414,2667327000
0.000130693,2672588000
0.000333973,2677849000
0.000537252,2683110000
5.94689E-05,2688371000
0.00074381,2693632000
5.29104E-05,2698893000
0.000550369,2704154000
0.000153648,2709415000
0.000156927,2714676000
0.000560207,2719937000
0.000236514,2725198000
0.000566765,2730459000
2.99554E-05,2735720000
0.000173324,2740981000
0.000576603,2746242000
2.01176E-05,2751503000
0.000383162,2756764000
0.000386441,2762025000
0.00021028,2767286000
0.000992999,2772547000
3.72124E-06,2777808000
0.000199558,2783069000
0.000802837,2788330000
0.000593883,2793591000
0.001209396,2798852000
0.000387325,2804113000
0.000615954,2809374000
0.000419234,2814635000
0.000177487,2819896000
0.001225792,2825157000
0.000570928,2830418000
0.001032351,2835679000
0.00016437,2840940000
0.000238909,2846201000
0.000842189,2851462000
0.000354532,2856723000
0.001048747,2861984000
5.20264E-05,2867245000
0.000455306,2872506000
0.000458585,2877767000
0.000261864,2883028000
0.000265144,2888289000
0.000668423,2893550000
7.17021E-05,2898811000
0.000674981,2904072000
0.000278261,2909333000
0.00028154,2914594000
0.000684819,2919855000
0.000111902,2925116000
0.000691378,2930377000
9.4657E-05,2935638000
0.000297936,2940899000
0.000701216,2946160000
9.55052E-05,2951421000
0.000507774,2956682000
0.000711053,2961943000
8.56674E-05,2967204000
0.001117612,2972465000
7.91088E-05,2977726000
0.00052417,2982987000
0.00052745,2988248000
6.9271E-05,2993509000
0.000934008,2998770000
6.27124E-05,3004031000
0.000740567,3009292000
0.000343846,3014553000
0.000147125,3019814000
0.000750405,3025075000
0.000153684,3030336000
0.000556963,3035597000
0.000360242,3040858000
0.000363522,3046119000
0.000366801,3051380000
0.00037008,3056641000
0.00037336,3061902000
0.000576639,3067163000
0.000179918,3072424000
0.000583197,3077685000
0.000386477,3082946000
0.000189756,3088207000
0.000793035,3093468000
3.6855E-06,3098729000
0.000399594,3103990000
0.000202873,3109251000
0.000406152,3114512000
0.000609432,3119773000
0.000212711,3125034000
0.00041599,3130295000
0.000419269,3135556000
0.000422549,3140817000
0.000225828,3146078000
0.000629107,3151339000
0.000232387,3156600000
0.000435666,3161861000
0.000438945,3167122000
4.22243E-05,3172383000
0.000645504,3177644000
4.87829E-05,3182905000
0.000652062,3188166000
0.000255341,3193427000
0.000258621,3198688000
0.0006619,3203949000
0.000134821,3209210000
0.000868459,3214471000
7.17378E-05,3219732000
0.000475017,3224993000
0.000478296,3230254000
0.000118424,3235515000
0.000884855,3240776000
8.81342E-05,3246037000
0.000491413,3251298000
0.000694693,3256559000
9.7972E-05,3261820000
0.000701251,3267081000
0.000304531,3272342000
0.00030781,3277603000
0.000511089,3282864000
0.000314368,3288125000
0.000317648,3293386000
0.000320927,3298647000
0.000324206,3303908000
0.000327485,3309169000
0.000530765,3314430000
0.000334044,3319691000
0.000337323,3324952000
0.000340603,3330213000
0.000543882,3335474000
0.000147161,3340735000
0.00075044,3345996000
4.62803E-05,3351257000
0.000356999,3356518000
0.000760278,3361779000
0.000236443,3367040000
0.000966837,3372301000
0.000229884,3377562000
0.000573395,3382823000
0.000376675,3388084000
2.00461E-05,3393345000
0.000583233,3398606000
0.000186512,3403867000
0.000189792,3409128000
0.000593071,3414389000
0.00019635,3419650000
0.00039963,3424911000
0.000602909,3430172000
6.18806E-06,3435433000
0.000609467,3440694000
0.000212747,3445955000
0.000416026,3451216000
0.000419305,3456477000
0.000222584,3461738000
0.000425864,3466999000
0.000229143,3472260000
0.000432422,3477521000
0.000235702,3482782000
0.000438981,3488043000
0.00024226,3493304000
0.000445539,3498565000
0.000248819,3503826000
5.20979E-05,3509087000
0.000655377,3514348000
0.000141344,3519609000
0.000661936,3524870000
6.5215E-05,3530131000
0.000268494,3535392000
0.000271774,3540653000
0.000275053,3545914000
0.000278332,3551175000
8.16114E-05,3556436000
0.000484891,3561697000
0.00011183,3566958000
0.000691449,3572219000
9.47285E-05,3577480000
0.000298008,3582741000
0.000701287,3588002000
0.000295434,3593263000
0.001107846,3598524000
0.000288875,3603785000
0.000514404,3609046000
0.000317683,3614307000
7.90373E-05,3619568000
0.000924242,3624829000
0.000472479,3630090000
0.0009308,3635351000
6.59202E-05,3640612000
0.000337359,3645873000
0.000740638,3651134000
5.60824E-05,3656395000
0.000747197,3661656000
4.95239E-05,3666917000
0.000153755,3672178000
0.000557035,3677439000
3.9686E-05,3682700000
0.000563593,3687961000
0.000166873,3693222000
2.98482E-05,3698483000
0.000573431,3703744000
2.32897E-05,3709005000
0.00057999,3714266000
0.000183269,3719527000
0.000186548,3724788000
0.000389827,3730049000
0.000193107,3735310000
0.000196386,3740571000
0.000199665,3745832000
0.000402945,3751093000
6.2238E-06,3756354000
0.000609503,3761615000
0.000187218,3766876000
0.000416062,3772137000
0.000419341,3777398000
0.00017738,3782659000
0.000625899,3787920000
2.91787E-05,3793181000
0.000232458,3798442000
0.000635737,3803703000
0.000360983,3808964000
0.000842296,3814225000
0.000154425,3819486000
0.000248854,3824747000
0.000652134,3830008000
0.000544587,3835269000
0.001058692,3840530000
0.000338029,3845791000
0.000465251,3851052000
0.00046853,3856313000
0.000328191,3861574000
0.000475089,3866835000
7.83678E-05,3872096000
8.16471E-05,3877357000
0.000284926,3882618000
0.000488206,3887879000
0.000108515,3893140000
0.000694764,3898401000
9.80435E-05,3903662000
0.000101323,3908923000
0.000704602,3914184000
0.000292119,3919445000
0.000711161,3924706000
0.00011444,3929967000
8.22809E-05,3935228000
0.000720998,3940489000
7.57223E-05,3945750000
0.000327557,3951011000
0.000530836,3956272000
6.58845E-05,3961533000
0.000737395,3966794000
5.9326E-05,3972055000
0.000343953,3977316000
0.000347233,3982577000
4.94881E-05,3987838000
0.000553791,3993099000
0.00024293,3998360000
0.00056035,4003621000
0.000163629,4008882000
0.000366908,4014143000
0.000570188,4019404000
2.65332E-05,4024665000
0.000576746,4029926000
0.000180025,4035187000
0.000383305,4040448000
0.000386584,4045709000
0.000189863,4050970000
0.000393142,4056231000
0.000396422,4061492000
0.000199701,4066753000
0.00040298,4072014000
0.00020626,4077275000
0.000409539,4082536000
0.000212818,4087797000
0.000416097,4093058000
0.000219377,4098319000
0.000422656,4103580000
0.000425935,4108841000
0.000229214,4114102000
0.000832494,4119363000
3.5773E-05,4124624000
0.000639052,4129885000
0.000242332,4135146000
0.000245611,4140407000
0.00084889,4145668000
0.000147831,4150929000
0.001055449,4156190000
0.000258728,4161451000
0.000262007,4166712000
0.000865286,4171973000
6.85657E-05,4177234000
0.000871845,4182495000
0.000275124,4187756000
0.000678404,4193017000
0.000681683,4198278000
0.000284962,4203539000
0.000888241,4208800000
0.000491521,4214061000
0.0006948,4219322000
0.000698079,4224583000
0.000301358,4229844000
0.001104638,4235105000
0.000307917,4240366000
0.000911196,4245627000
0.000714476,4250888000
0.000317755,4256149000
0.001321034,4261410000
7.56866E-05,4266671000
0.001327593,4271932000
0.000730872,4277193000
0.000134151,4282454000
0.001737431,4287715000
5.92902E-05,4292976000
0.001343989,4298237000
0.000947268,4303498000
0.000350548,4308759000
0.001553827,4314020000
0.000157106,4319281000
0.001360385,4324542000
0.000763665,4329803000
0.000966944,4335064000
0.001170223,4340325000
0.000573503,4345586000
0.001176782,4350847000
0.000780061,4356108000
0.00118334,4361369000
0.00078662,4366630000
0.001189899,4371891000
0.000993178,4377152000
0.000996457,4382413000
0.001199737,4387674000
0.001003016,4392935000
0.001006295,4398196000
0.001209575,4403457000
0.001212854,4408718000
0.001016133,4413979000
0.001619412,4419240000
0.000822692,4424501000
0.001625971,4429762000
0.00122925,4435023000
0.001032529,4440284000
0.001835809,4445545000
0.000639088,4450806000
0.001842367,4456067000
0.001045647,4461328000
0.001448926,4466589000
0.001452205,4471850000
0.001055484,4477111000
0.001858764,4482372000
0.000862043,4487633000
0.001865322,4492894000
0.001068601,4498155000
0.001471881,4503416000
0.00187516,4508677000
0.001078439,4513938000
0.001881719,4519199000
0.001484998,4524460000
0.001288277,4529721000
0.001891556,4534982000
0.001294836,4540243000
0.001698115,4545504000
0.001501394,4550765000
0.001304674,4556026000
0.002107953,4561287000
0.001111232,4566548000
0.002114511,4571809000
0.001317791,4577070000
0.00172107,4582331000
0.001924349,4587592000
0.001327628,4592853000
0.002130908,4598114000
0.001334187,4603375000
0.001937466,4608636000
0.001740746,4613897000
0.001744025,4619158000
0.001947304,4624419000
0.001550583,4629680000
0.001953863,4634941000
0.001557142,4640202000
0.001760421,4645463000
0.0015637,4650724000
0.00176698,4655985000
0.001770259,4661246000
0.001573538,4666507000
0.001976818,4671768000
0.001580097,4677029000
0.001983376,4682290000
0.001386655,4687551000
0.001789935,4692812000
0.001993214,4698073000
0.001396493,4703334000
0.002399772,4708595000
0.001403052,4713856000
0.001806331,4719117000
0.00220961,4724378000
0.00101289,4729639000
0.002616169,4734900000
0.001619448,4740161000
0.001422727,4745422000
0.002626007,4750683000
0.000829286,4755944000
0.002432565,4761205000
0.001435844,4766466000
0.001639124,4771727000
0.002242403,4776988000
0.001445682,4782249000
0.002248962,4787510000
0.001852241,4792771000
0.00205552,4798032000
0.002058799,4803293000
0.001862079,4808554000
0.002265358,4813815000
0.001668637,4819076000
0.002071916,4824337000
0.001875196,4829598000
0.001478475,4834859000
0.002081754,4840120000
0.001285034,4845381000
0.002088313,4850642000
0.001691592,4855903000
0.001494871,4861164000
0.002098151,4866425000
0.00110143,4871686000
0.002104709,4876947000
0.001307989,4882208000
0.001511268,4887469000
0.001914547,4892730000
0.001117826,4897991000
0.002121106,4903252000
0.001124385,4908513000
0.001927664,4913774000
0.001330943,4919035000
0.001334223,4924296000
0.001737502,4929557000
0.001140781,4934818000
0.001744061,4940079000
0.00134734,4945340000
0.001550619,4950601000
0.001353898,4955862000
0.001357178,4961123000
0.001360457,4966384000
0.001563736,4971645000
0.001167015,4976906000
0.001570295,4982167000
0.001173574,4987428000
0.001376853,4992689000
0.001380133,4997950000
0.000983412,5003211000
0.001386691,5008472000
0.00138997,5013733000
0.00099325,5018994000
0.001596529,5024255000
0.000799808,5029516000
0.001403087,5034777000
0.001406367,5040038000
0.000409646,5045299000
0.002012925,5050560000
0.000616205,5055821000
0.001219484,5061082000
0.001422763,5066343000
0.000626042,5071604000
0.001429322,5076865000
0.000832601,5082126000
0.00123588,5087387000
0.000839159,5092648000
0.001042439,5097909000
0.001045718,5103170000
0.000448997,5108431000
0.001452277,5113692000
0.000455556,5118953000
0.001258835,5124214000
0.001062114,5129475000
0.000265394,5134736000
0.001668673,5139997000
0.000271952,5145258000
0.001075232,5150519000
0.001078511,5155780000
0.00028179,5161041000
0.001285069,5166302000
0.000688349,5171563000
0.000691628,5176824000
0.001294907,5182085000
0.000298186,5187346000
0.001101466,5192607000
0.000504745,5197868000
0.000708024,5203129000
0.000911304,5208390000
0.000514583,5213651000
